eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
8380,100,2.203114528707843E-8,4.853543784936E-14,10,10
8400,100,2.2031145257278886E-8,4.85354378506861E-14,10,10
8420,100,2.203114525726715E-8,4.8535437850686814E-14,10,10
8440,100,2.2031109287498757E-8,4.853543945147421E-14,10,10
8460,100,2.203111639379514E-8,4.853543913519388E-14,10,10
8480,100,2.2031105318195342E-8,4.85354396281274E-14,10,10
8500,100,2.2031382145601767E-8,4.8535427314960053E-14,10,10
8520,100,2.2031382133463583E-8,4.8535427315500366E-14,10,10
8540,100,2.203467394647001E-8,4.853528188701834E-14,10,10
8560,100,2.203467394646492E-8,4.853528188701837E-14,10,10
8580,100,2.2035379204185322E-8,4.853525051744725E-14,10,10
